n,edges,root,E,J,I,E_geq_J_coeffwise,E_dom_J,SCC,I_dom_1pxJ,IpxE_dom_E,gk_ck_plus_dk_ge0,gk_min,SCC_ge_xI,SCC_minus_xI_min,d_km1_JE_ge0_prefix_to_modeI,d_km1_JE_min_prefix,mode_I,ratio_J_over_E_logconcave,ratio_J_over_E_logconcave_min_crossdiff,min_SCC_margin,max_neg_d_I_E,SCC_ratio,min_nontriv_SCC_margin,SCC_ratio_nontriv,rooted_code
1,(),0,"(1,)","(1,)","(1, 1)",True,True,True,True,True,True,0,True,0,True,0,0,True,0,0,0.0,inf,0.0,inf,()
2,"((0, 1),)",1,"(1, 1)","(1,)","(1, 2)",True,True,True,True,True,True,0,True,0,False,-1,1,True,0,0,0.0,inf,2.0,inf,(())
3,"((0, 1), (0, 2))",1,"(1, 2)","(1, 1)","(1, 3, 1)",True,True,True,False,True,True,6,True,0,False,-1,1,True,0,0,0.0,inf,2.0,inf,((()))
3,"((0, 1), (0, 2))",0,"(1, 2, 1)","(1,)","(1, 3, 1)",True,True,True,True,True,True,2,False,-1,False,-2,1,True,0,0,1.0,0.0,2.0,2.0,(()())
4,"((0, 1), (0, 3), (1, 2))",2,"(1, 3, 1)","(1, 2)","(1, 4, 3)",True,True,True,True,True,True,13,True,0,False,-1,1,True,4,0,0.0,inf,2.0,inf,(((())))
4,"((0, 1), (0, 2), (0, 3))",1,"(1, 3, 1)","(1, 2, 1)","(1, 4, 3, 1)",True,False,True,False,True,True,2,True,0,False,-1,1,False,-5,0,0.0,inf,2.0,inf,((()()))
4,"((0, 1), (0, 3), (1, 2))",1,"(1, 3, 2)","(1, 1)","(1, 4, 3)",True,True,True,True,True,True,8,True,0,False,-2,1,True,2,0,0.0,inf,2.0,inf,((())())
4,"((0, 1), (0, 2), (0, 3))",0,"(1, 3, 3, 1)","(1,)","(1, 4, 3, 1)",True,True,True,True,True,True,3,False,-3,False,-3,1,True,0,0,3.0,0.0,2.0,0.6666666666666666,(()()())
5,"((0, 1), (0, 3), (1, 2), (3, 4))",2,"(1, 4, 3)","(1, 3, 1)","(1, 5, 6, 1)",True,True,True,False,True,True,12,True,0,False,-5,2,True,11,0,0.0,inf,2.0,inf,((((()))))
5,"((0, 1), (0, 3), (0, 4), (1, 2))",3,"(1, 4, 3)","(1, 3, 2)","(1, 5, 6, 2)",True,True,True,False,True,True,15,True,0,False,-1,2,False,-5,0,0.0,inf,2.0,inf,(((())()))
5,"((0, 1), (0, 3), (0, 4), (1, 2))",2,"(1, 4, 3, 1)","(1, 3, 1)","(1, 5, 6, 2)",True,True,True,True,True,True,5,True,0,False,-5,2,True,4,0,0.0,inf,2.0,inf,(((()())))
5,"((0, 1), (0, 2), (0, 3), (0, 4))",1,"(1, 4, 3, 1)","(1, 3, 3, 1)","(1, 5, 6, 4, 1)",True,False,True,False,True,True,2,True,0,False,-1,2,False,-21,0,0.0,inf,2.0,inf,((()()()))
5,"((0, 1), (0, 3), (1, 2), (3, 4))",0,"(1, 4, 4)","(1, 2, 1)","(1, 5, 6, 1)",True,True,True,False,True,True,16,True,0,False,-4,2,True,0,0,0.0,inf,2.0,inf,((())(()))
5,"((0, 1), (0, 3), (1, 2), (3, 4))",1,"(1, 4, 4, 1)","(1, 2)","(1, 5, 6, 1)",True,True,True,True,True,True,10,False,-2,False,-8,2,True,0,0,2.0,0.0,2.0,1.0,(((()))())
5,"((0, 1), (0, 3), (0, 4), (1, 2))",1,"(1, 4, 4, 1)","(1, 2, 1)","(1, 5, 6, 2)",True,True,True,True,True,True,14,True,0,False,-4,2,True,0,0,0.0,inf,2.0,inf,((()())())
5,"((0, 1), (0, 3), (0, 4), (1, 2))",0,"(1, 4, 5, 2)","(1, 1)","(1, 5, 6, 2)",True,True,True,True,True,True,10,False,-2,False,-5,2,True,0,0,2.0,0.0,2.0,1.0,((())()())
5,"((0, 1), (0, 2), (0, 3), (0, 4))",0,"(1, 4, 6, 4, 1)","(1,)","(1, 5, 6, 4, 1)",True,True,True,True,True,True,4,False,-6,False,-4,2,True,0,0,6.0,0.0,2.0,0.3333333333333333,(()()()())
6,"((0, 1), (0, 4), (1, 2), (2, 3), (4, 5))",3,"(1, 5, 6, 1)","(1, 4, 3)","(1, 6, 10, 4)",True,True,True,False,True,True,33,True,0,False,-9,2,True,21,0,0.0,inf,2.0,inf,(((((())))))
6,"((0, 1), (0, 3), (0, 5), (1, 2), (3, 4))",5,"(1, 5, 6, 1)","(1, 4, 4)","(1, 6, 10, 5)",True,True,True,True,True,True,33,True,0,False,-4,2,False,-4,0,0.0,inf,2.0,inf,(((())(())))
